,caseID,segment,dsc,hsdff_95,method
212,amos_0508,kidney_right,0.95,1.41,MRSegmentator
213,amos_0510,kidney_right,0.95,3.74,MRSegmentator
214,amos_0514,kidney_right,0.95,2.0,MRSegmentator
215,amos_0541,kidney_right,0.95,1.41,MRSegmentator
216,amos_0580,kidney_right,0.95,4.12,MRSegmentator
217,amos_0587,kidney_right,0.95,2.24,MRSegmentator
218,amos_0570,kidney_right,0.74,9.85,MRSegmentator
219,amos_0517,kidney_right,0.96,1.41,MRSegmentator
220,amos_0538,kidney_right,0.96,1.41,MRSegmentator
221,amos_0540,kidney_right,0.96,1.41,MRSegmentator
222,amos_0554,kidney_right,0.96,1.73,MRSegmentator
223,amos_0555,kidney_right,0.96,1.41,MRSegmentator
224,amos_0557,kidney_right,0.96,2.24,MRSegmentator
225,amos_0558,kidney_right,0.96,2.83,MRSegmentator
226,amos_0571,kidney_right,0.96,2.83,MRSegmentator
227,amos_0582,kidney_right,0.96,1.41,MRSegmentator
228,amos_0583,kidney_right,0.96,2.24,MRSegmentator
229,amos_0584,kidney_right,0.96,3.11,MRSegmentator
230,amos_0585,kidney_right,0.96,1.41,MRSegmentator
231,amos_0588,kidney_right,0.96,2.0,MRSegmentator
232,amos_0589,kidney_right,0.96,1.0,MRSegmentator
233,amos_0591,kidney_right,0.96,1.0,MRSegmentator
234,amos_0592,kidney_right,0.96,2.0,MRSegmentator
235,amos_0596,kidney_right,0.96,2.24,MRSegmentator
236,amos_0597,kidney_right,0.96,1.0,MRSegmentator
237,amos_0599,kidney_right,0.96,1.0,MRSegmentator
238,amos_0600,kidney_right,0.96,1.41,MRSegmentator
239,amos_0532,kidney_right,0.93,2.0,MRSegmentator
