,caseID,segment,dsc,hsdff_95,method
320,amos_0508,adrenal_gland_right,0.0,320.0,TotalSegmentatorMRI
321,amos_0590,adrenal_gland_right,0.75,4.0,TotalSegmentatorMRI
322,amos_0591,adrenal_gland_right,0.47,3.84,TotalSegmentatorMRI
323,amos_0510,adrenal_gland_right,0.33,7.28,TotalSegmentatorMRI
324,amos_0587,adrenal_gland_right,0.33,6.13,TotalSegmentatorMRI
325,amos_0582,adrenal_gland_right,0.66,3.0,TotalSegmentatorMRI
326,amos_0570,adrenal_gland_right,0.22,13.91,TotalSegmentatorMRI
327,amos_0555,adrenal_gland_right,0.63,2.45,TotalSegmentatorMRI
328,amos_0518,adrenal_gland_right,0.6,2.24,TotalSegmentatorMRI
329,amos_0585,adrenal_gland_right,0.57,3.61,TotalSegmentatorMRI
330,amos_0593,adrenal_gland_right,0.57,3.16,TotalSegmentatorMRI
331,amos_0530,adrenal_gland_right,0.54,3.32,TotalSegmentatorMRI
332,amos_0588,adrenal_gland_right,0.51,6.0,TotalSegmentatorMRI
333,amos_0514,adrenal_gland_right,0.46,7.87,TotalSegmentatorMRI
334,amos_0551,adrenal_gland_right,0.46,8.31,TotalSegmentatorMRI
335,amos_0586,adrenal_gland_right,0.67,6.63,TotalSegmentatorMRI
336,amos_0557,adrenal_gland_right,0.64,10.15,TotalSegmentatorMRI
337,amos_0584,adrenal_gland_right,0.64,4.06,TotalSegmentatorMRI
338,amos_0517,adrenal_gland_right,0.61,6.09,TotalSegmentatorMRI
339,amos_0583,adrenal_gland_right,0.29,5.2,TotalSegmentatorMRI
340,amos_0580,adrenal_gland_right,0.58,2.24,TotalSegmentatorMRI
341,amos_0558,adrenal_gland_right,0.55,6.8,TotalSegmentatorMRI
342,amos_0589,adrenal_gland_right,0.55,4.92,TotalSegmentatorMRI
343,amos_0522,adrenal_gland_right,0.37,7.0,TotalSegmentatorMRI
344,amos_0571,adrenal_gland_right,0.37,7.28,TotalSegmentatorMRI
345,amos_0541,adrenal_gland_right,0.12,20.67,TotalSegmentatorMRI
346,amos_0532,adrenal_gland_right,0.48,3.74,TotalSegmentatorMRI
347,amos_0540,adrenal_gland_right,0.48,3.16,TotalSegmentatorMRI
348,amos_0554,adrenal_gland_right,0.71,4.12,TotalSegmentatorMRI
349,amos_0597,adrenal_gland_right,0.17,14.89,TotalSegmentatorMRI
350,amos_0538,adrenal_gland_right,0.45,11.71,TotalSegmentatorMRI
351,amos_0548,adrenal_gland_right,0.45,7.25,TotalSegmentatorMRI
352,amos_0507,adrenal_gland_right,0.62,3.32,TotalSegmentatorMRI
353,amos_0595,adrenal_gland_right,0.42,4.79,TotalSegmentatorMRI
354,amos_0578,adrenal_gland_right,0.59,4.69,TotalSegmentatorMRI
355,amos_0599,adrenal_gland_right,0.59,5.1,TotalSegmentatorMRI
356,amos_0600,adrenal_gland_right,0.59,2.45,TotalSegmentatorMRI
357,amos_0596,adrenal_gland_right,0.56,6.32,TotalSegmentatorMRI
358,amos_0594,adrenal_gland_right,0.53,6.45,TotalSegmentatorMRI
359,amos_0592,adrenal_gland_right,0.78,2.45,TotalSegmentatorMRI
